dm,vector_size,window,hs,epochs,min_count,ns_exponent,dbow_words,negative,rank_score,bleu_score
0,100,100000,0,50,1,3,1,5,134,0.20933333333333334
0,100,100000,0,50,1,3,1,20,171,0.2208888888888889
0,100,100000,0,50,1,-3,1,5,220,0.19914814814814819
0,100,100000,0,50,1,-3,1,20,226,0.20866666666666667
0,100,100000,0,50,5,3,1,5,147,0.20403703703703702
0,100,100000,0,50,5,3,1,20,183,0.2265925925925926
0,100,100000,0,50,5,-3,1,5,166,0.20359259259259263
0,100,100000,0,50,5,-3,1,20,251,0.22755555555555557
0,300,100000,0,50,1,3,1,5,130,0.20299999999999999
0,300,100000,0,50,1,3,1,20,178,0.2108148148148148
0,300,100000,0,50,1,-3,1,5,211,0.19774074074074074
0,300,100000,0,50,1,-3,1,20,229,0.20285185185185187
