movie_id,q_genres,genres_list
godzilla_vs._biollante,science_fiction_film|kaiju|horror_film,suspense|post-apocalyptic_film_q1341051|science_fiction_film|sports_film|action_film|fantasy_film|historical_film_q17013749|horror_film|zombie_film|mystery_film
the_bunker_(2001_film),mystery_film|horror_film,found_footage_|slasher_film|comedy_horror|horror_film|zombie_film
just_go_with_it,romantic_comedy,christmas_film_q28026639|science_fiction_film|family_film_q1361932|parody_film|fantasy_film|romantic_comedy
agony_(film),political_drama|biographical_film|historical_film_q17013749,propaganda_film|biographical_film|partisan_film|film_based_on_literature_q52162262|adventure_film|romance_film|historical_film_q17013749
harry_potter_and_the_half-blood_prince_(film),film_based_on_literature_q52162262|fantasy_film,"spy_film|christmas_film_q28026639|propaganda_film|werewolf_film_q5258881|""childrens_film""|film_based_on_literature_q52162262|fantasy_film|adventure_film|horror_film|musical_film"
toy_story_4,"""childrens_film""","christmas_film_q28026639|comedy-drama|family_film_q1361932|""childrens_film""|buddy_film|parody_film|sports_film|film_based_on_literature_q52162262|comedy_horror|romance_film|romantic_comedy"
tsar_(film),political_drama|historical_film_q17013749,crime_film|thriller_film|biographical_film|sword-and-sandal|western_film|teen_film|buddy_film|coming-of-age_story|melodrama_q1919632|action_film|musical_film|political_thriller|historical_film_q17013749|romantic_comedy
high_school_musical_3:_senior_year,"romantic_comedy|musical_film|""childrens_film""|teen_film",western_film|fantasy_film|coming-of-age_story|heist_film|musical_film|teen_film|romantic_comedy
hook_(film),pirate_film_q2096633|fantasy_film|action_film,"science_fiction_film|docudrama|sexploitation_film|""childrens_film""|monster_movie|sports_film|action_film|fantasy_film|adventure_film|erotic_film|horror_film|teen_film|war_film"
destiny_(1997_film),biographical_film,crime_film|thriller_film|biographical_film|lgbt-related_film_q20442589|adventure_film|erotic_film|romance_film|romantic_comedy
